 s_pro_id,student_id,program_id,program_start,program_end,program_status,grad_date
65,1154,13,8/16/2004,5/19/2006,Graduated,6/9/2007
66,1172,13,8/6/2002,,Dropped,
67,1187,13,1/18/2010,5/22/2012,Graduated,6/16/2012
68,1214,13,8/15/2005,5/18/2007,Graduated,6/9/2007
69,1231,13,8/18/2004,5/19/2006,Graduated,6/11/2006
70,1249,13,8/16/2004,5/19/2006,Graduated,6/11/2006
71,1266,13,8/16/2004,5/19/2006,Graduated,6/11/2006
72,1283,13,8/16/2004,5/19/2006,Graduated,6/11/2006
73,1300,13,7/30/2004,5/19/2006,Graduated,6/11/2006
74,1320,13,8/16/2004,,Dropped,
75,1337,13,8/16/2004,,Dropped,
76,1339,13,8/15/2011,12/7/2015,Graduated,6/11/2016
77,1362,13,6/1/2021,,In Process,
78,1376,13,8/17/2009,5/25/2010,Graduated,6/19/2010
79,1384,13,8/14/2006,,Terminated,
80,1405,13,8/15/2005,5/18/2007,Graduated,6/9/2007
81,1421,13,8/14/2006,,Dropped,
82,1430,13,8/14/2006,,Terminated,
83,1430,13,8/17/2015,12/10/2018,Graduated,6/15/2019
84,1453,13,8/18/2003,,Terminated,
85,1456,13,8/18/2003,,Terminated,
86,1459,13,8/18/2003,,Dropped,
87,1474,13,8/14/2006,,Terminated,
88,1474,13,8/17/2015,5/16/2019,Graduated,6/15/2019
89,1502,13,8/20/2008,5/25/2010,Graduated,6/19/2010
90,1522,13,8/20/2008,5/22/2012,Graduated,6/16/2012
91,1549,13,8/17/2009,5/19/2014,Graduated,6/14/2014
92,1585,13,8/15/2005,5/18/2007,Graduated,6/9/2007
93,1602,13,8/20/2008,5/24/2011,Graduated,1/28/2012
94,1622,13,8/15/2006,5/25/2010,Graduated,6/19/2010
95,1647,13,1/14/2008,,Terminated,
96,1647,13,8/14/2017,,Terminated,
97,1658,13,8/13/2007,12/14/2009,Graduated,1/16/2010
98,1674,13,8/17/2009,,Terminated,
99,1680,13,8/16/2006,12/20/2010,Graduated,1/29/2011
100,1717,13,8/13/2007,5/22/2012,Graduated,6/16/2012
101,1763,13,8/13/2007,5/25/2009,Graduated,6/20/2009
102,1782,13,8/16/2004,,Terminated,
103,1816,13,8/14/2006,5/19/2008,Graduated,6/14/2008
104,1835,13,8/13/2007,,Dropped,
105,1841,13,8/13/2007,12/14/2009,Graduated,1/16/2010
106,1865,13,8/17/2009,,Terminated,
107,1865,13,1/16/2017,,Terminated,
108,1865,13,8/14/2006,,Dropped,
109,1890,13,8/14/2006,5/19/2008,Graduated,6/14/2008
110,1908,13,8/14/2006,,Terminated,
111,1921,13,8/16/2004,12/22/2008,Graduated,6/20/2009
112,1943,13,8/20/2008,5/24/2011,Graduated,6/18/2011
113,1969,13,8/14/2006,7/24/2009,Graduated,7/24/2009
114,1990,13,8/14/2006,5/19/2008,Graduated,6/14/2008
115,2010,13,8/14/2006,5/19/2008,Graduated,6/14/2008
116,2029,13,8/14/2006,12/22/2008,Graduated,12/22/2008
117,2049,13,8/13/2007,5/13/2013,Graduated,6/15/2013
118,2088,13,1/1/2022,,In Process,
119,2091,13,8/13/2007,,Dropped,
120,2097,13,1/17/2005,,Terminated,
121,2103,13,1/17/2005,,Terminated,
122,2107,13,1/17/2005,,Terminated,
123,2156,13,6/1/2005,,Terminated,
124,2170,13,8/17/2015,,Terminated,
125,2182,13,8/17/2009,,Terminated,
126,2199,13,8/15/2005,5/22/2012,Graduated,6/16/2012
127,2262,13,1/14/2008,5/25/2010,Graduated,6/19/2010
128,2281,13,8/13/2007,5/25/2010,Graduated,6/19/2010
129,2319,13,8/20/2008,12/10/2012,Graduated,1/26/2013
130,2349,13,1/17/2011,7/27/2018,Graduated,6/15/2019
131,2384,13,1/14/2008,12/20/2010,Graduated,1/29/2011
132,2414,13,8/13/2007,12/20/2010,Graduated,1/29/2011
133,2449,13,8/15/2005,5/25/2009,Graduated,6/20/2009
134,2490,13,8/18/2008,5/25/2010,Graduated,6/19/2010
135,2508,13,8/20/2008,5/25/2010,Graduated,6/19/2010
136,2525,13,8/15/2005,5/25/2010,Graduated,6/19/2010
137,2550,13,8/15/2005,,Terminated,
138,2593,13,1/19/2009,5/22/2012,Graduated,6/16/2012
139,2623,13,6/21/2010,,Terminated,
140,2639,13,8/1/2021,,In Process,
141,2639,13,8/14/2017,,Terminated,
142,2639,13,8/17/2009,,Transferred,
143,2668,13,8/15/2005,5/25/2010,Graduated,6/19/2010
144,2720,13,8/15/2005,,Terminated,
145,2771,13,1/14/2008,12/20/2010,Graduated,1/29/2011
146,2796,13,8/15/2005,12/8/2014,Graduated,2/7/2015
147,2846,13,8/15/2011,7/25/2014,Graduated,2/7/2015
148,2864,13,8/13/2018,5/20/2022,Graduated,10/15/2022
149,2884,13,8/14/2006,,Terminated,
150,2888,13,11/17/2005,,Terminated,
151,2892,13,11/22/2005,,Terminated,
152,2895,13,8/17/2009,5/24/2011,Graduated,6/18/2011
153,2916,13,1/19/2009,5/24/2011,Graduated,6/18/2011
154,2940,13,8/20/2008,5/25/2010,Graduated,6/19/2010
155,2958,13,8/17/2009,5/24/2011,Graduated,6/18/2011
156,2977,13,1/19/2009,5/24/2011,Graduated,6/18/2011
157,2998,13,8/15/2011,12/7/2015,Graduated,2/6/2016
158,3026,13,8/15/2005,,Dropped,
159,3044,13,8/16/2010,,Terminated,
160,3050,13,8/1/2020,,Terminated,
161,3056,13,8/14/2006,,Dropped,
162,3059,13,8/14/2006,,Terminated,
163,3109,13,8/14/2006,8/17/2022,Terminated,
164,3143,13,8/20/2008,12/20/2010,Graduated,1/29/2011
165,3165,13,8/20/2008,5/24/2011,Graduated,6/18/2011
166,3179,13,8/19/2013,5/18/2015,Graduated,6/13/2015
167,3200,13,8/14/2006,,Transferred,
168,3227,13,8/14/2006,5/24/2011,Graduated,6/18/2011
169,3268,13,1/1/2020,,In Process,
170,3285,13,8/19/2013,,Terminated,
171,3291,13,1/15/2007,,Transferred,
172,3303,13,1/18/2010,5/19/2014,Graduated,6/14/2014
173,3320,13,8/13/2007,,Terminated,
174,3338,13,8/18/2014,,terminated,
175,3355,13,8/17/2009,5/24/2011,Graduated,6/18/2011
176,3373,13,8/17/2009,5/13/2013,Graduated,6/15/2013
177,3391,13,8/13/2007,,Terminated,
178,3400,13,1/18/2010,5/13/2013,Graduated,6/15/2013
179,3420,13,8/18/2014,,Terminated,
180,3424,13,8/16/2010,5/22/2012,Graduated,6/16/2012
181,3445,13,8/13/2007,5/25/2010,Graduated,6/19/2010
